file,requests,errors,error_rate,dns_ms,tcp_tls_ms,ttfb_ms,plt_ms,oncontent_ms,avg_fetch_ms,total_bytes,throughput_bps
pomological-subocean-anastacia.ngrok-free.dev.har,3,0,0.0,,,190.98799998251596,439.32499998481944,274.16299999458715,198.29433333749571,0,
pomological-subocean-anastacia.ngrok-free.dev10.har,3,0,0.0,,,52.49300001085177,148.68300000671297,97.33899997081608,68.04066667488466,0,
pomological-subocean-anastacia.ngrok-free.dev11.har,3,0,0.0,,,109.16000000800938,297.78199997963384,213.72800000244752,129.4240000230881,0,
pomological-subocean-anastacia.ngrok-free.dev12.har,3,0,0.0,,,73.07766668056696,238.28200000571087,197.75200000731274,91.08900001350169,0,
pomological-subocean-anastacia.ngrok-free.dev13.har,3,0,0.0,,,48.503999999644854,121.7789999791421,72.05899996915832,56.97866665044179,0,
pomological-subocean-anastacia.ngrok-free.dev14.har,3,0,0.0,,,233.6586666644029,696.4429999934509,663.1349999806844,241.93433332645023,0,
pomological-subocean-anastacia.ngrok-free.dev15.har,3,0,0.0,,,73.18633332241451,200.42299997294322,151.23099996708333,81.95333334151655,0,
pomological-subocean-anastacia.ngrok-free.dev2.har,3,0,0.0,,,190.6896666447458,448.1110000051558,285.23999999742955,198.01466665618742,0,
pomological-subocean-anastacia.ngrok-free.dev3.har,3,0,0.0,,,92.60433332729961,263.2689999882132,221.98600001865998,100.98633335049574,0,
pomological-subocean-anastacia.ngrok-free.dev4.har,3,0,0.0,,,166.63799998907868,369.64399996213615,209.15499998955056,172.36599999402338,0,
pomological-subocean-anastacia.ngrok-free.dev5.har,3,0,0.0,,,75.44733332027867,227.1770000224933,180.92400004388765,91.08433333070327,0,
pomological-subocean-anastacia.ngrok-free.dev6.har,3,0,0.0,,,67.54033331834277,205.621000030078,175.64800003310665,79.46666665763284,0,
pomological-subocean-anastacia.ngrok-free.dev7.har,3,0,0.0,,,71.7599999792998,193.3779999963008,139.99399996828288,84.38366668997332,0,
pomological-subocean-anastacia.ngrok-free.dev8.har,3,0,0.0,,,60.91233332192153,187.00400000670925,144.66099999845028,77.30433335139726,0,
pomological-subocean-anastacia.ngrok-free.dev9.har,3,0,0.0,,,88.34766666125257,243.09800000628456,200.2249999786727,96.23533334039773,0,
